sample_name_short,,OxicEvo04EcoliGlc_Broth-10,OxicEvo04EcoliGlc_Broth-11,OxicEvo04EcoliGlc_Broth-12,OxicEvo04EcoliGlc_Broth-4,OxicEvo04EcoliGlc_Broth-5,OxicEvo04EcoliGlc_Broth-6,OxicEvo04gndEcoliGlc_Broth-1,OxicEvo04gndEcoliGlc_Broth-2,OxicEvo04gndEcoliGlc_Broth-3,OxicEvo04gndEcoliGlc_Broth-7,OxicEvo04gndEcoliGlc_Broth-8,OxicEvo04gndEcoliGlc_Broth-9,OxicEvo04pgiEcoliGlc_Broth-1,OxicEvo04pgiEcoliGlc_Broth-2,OxicEvo04pgiEcoliGlc_Broth-3,OxicEvo04pgiEcoliGlc_Broth-4,OxicEvo04pgiEcoliGlc_Broth-5,OxicEvo04pgiEcoliGlc_Broth-6,OxicEvo04ptsHIcrrEcoliGlc_Broth-1,OxicEvo04ptsHIcrrEcoliGlc_Broth-2,OxicEvo04ptsHIcrrEcoliGlc_Broth-3,OxicEvo04ptsHIcrrEcoliGlc_Broth-4,OxicEvo04ptsHIcrrEcoliGlc_Broth-5,OxicEvo04ptsHIcrrEcoliGlc_Broth-6,OxicEvo04sdhCBEcoliGlc_Broth-1,OxicEvo04sdhCBEcoliGlc_Broth-2,OxicEvo04sdhCBEcoliGlc_Broth-3,OxicEvo04sdhCBEcoliGlc_Broth-4,OxicEvo04sdhCBEcoliGlc_Broth-5,OxicEvo04sdhCBEcoliGlc_Broth-6,OxicEvo04tpiAEcoliGlc_Broth-1,OxicEvo04tpiAEcoliGlc_Broth-2,OxicEvo04tpiAEcoliGlc_Broth-3,OxicEvo04tpiAEcoliGlc_Broth-4,OxicEvo04tpiAEcoliGlc_Broth-5,OxicEvo04tpiAEcoliGlc_Broth-6
ade.ade_1.Light,ade,0.0103636602869427,0.0100764931399102,0.0115113527992282,0.00909986962158128,0.0104552599803373,0.0102854407530182,0.0471759291081545,0.048745318061441,0.0358126564417626,0.0405018200959142,0.0449360799888389,0.0369275897711057,0.052988272287041,0.0489337091732186,0.0535252980324094,0.0444916770117228,0.0413771496307485,0.051595897617803,0.0356922028742656,0.0512528661048357,0.0432806350277818,0.0525841870450007,0.0614854767540113,0.0379682828482512,0.0663262115879141,0.0601846203168805,0.0635852331721669,0.0610939606444537,0.0594851839649476,0.0586886982147273,0.0514553343844965,0.0593439441319522,0.0548295169146913,0.0566935528416698,0.0539192821541852,0.0488959214931484
adn.adn_1.Light,adn,0.0190632013107828,0.00857358012908941,0.0318424684627036,0.0220628597007704,0.00748578149682023,0.0220234989330971,0.0114756062917271,0.00779370497020432,0.00981889595774208,0.00945236358484802,0.00531476795525655,0.00744800695233274,0.0462707743076371,0.0843961911571872,0.0205285990630743,0.0501863334829393,0.0989167567584394,0.0337783303621188,0.0189151331151226,0.0154619722464338,0.0150598732895673,0.0108503658865024,0.012769071093968,0.0229590558443498,0.0339804357676001,0.0113960691591404,0.0140613360459125,0.0253236911292723,0.0103703107416459,0.0147394506425724,0.0157078856496807,0.00600774812309629,0.0286964003960307,0.015610888935948,0.0075824381366181,0.0278750906353355
adp.adp_1.Light,adp,0.60394272928992,0.569550618511313,0.602194284000105,0.649978070103102,0.553160084700574,0.627250975818455,0.607241427921075,0.470838608531868,0.50595710768012,0.581629197743597,0.41995651902446,0.456424027154508,0.788787574263099,1.18080717527276,1.00297141242852,0.765608326232367,1.13214574811734,1.08153706036697,0.685658270773184,0.95749263847409,0.704649083975306,0.712255565555336,0.862653228063642,0.705831831515845,0.246565379673193,0.454768352081002,0.557496625179491,0.262243836209438,0.443324891209667,0.477979662684255,0.538246132066376,0.597580787625916,0.457105624772444,0.597779476626854,0.54996616390485,0.417881627557348
adpglc.adpglc_1.Light,adpglc,0.00913888400411262,0.00934591344376384,0.00919239896863829,0.0107114275609368,0.00886379974428662,0.00696953790069539,0.0312983773688181,0.0278462445243821,0.0186872396573766,0.0366495829657287,0.0290614619272339,0.028502335940307,0.00384227554573698,0.00749892698203682,0.0050645325902056,0.00224011480557415,0.00389375489249378,0.0051949274092218,0.00321665545642096,0.0109808403039533,0.00194246180124812,0.00271788677499981,0.00812081820092327,0.00311994476017253,0.012667839016777,0.0111631045881894,0.0217666689809512,0.016399597188236,0.0158633634088705,0.0202310598094241,0.00280614541813887,0.00323902202522078,0.00459920221789966,0.00362290626700831,0.00375618909085382,0.00556869179290854
akg.akg_1.Light,akg,0.297884681315163,0.248417869313796,0.272207730742002,0.2403548531772,0.280727989493092,0.312071090937923,1.17824219372999,0.45767095712736,0.370626593905778,1.19711040974823,0.513571979515306,0.642522354687876,0.353945064822491,0.302732205142029,0.459817378094123,0.355970531624381,0.287385435658587,0.297035402100316,0.910876307329631,0.617269360964477,0.543863644165313,0.841245379765743,0.633251880435026,0.375909817484522,0.294029305301416,0.319722771487364,0.509365757200213,0.548042766968693,0.462370094203047,0.410975137814187,0.303614826212581,0.430836422434805,0.29973843907319,0.491639040134492,0.599939234268275,0.365961734790336
ala-L.ala-L_1.Light,ala-L,2.76164520012558,9.56616464119415,4.98286735725139,1.14081716080494,2.67203039590193,3.26837582682462,11.4389338247942,21.2670065280071,9.86621332142243,12.4457583912641,36.4430747522566,12.0331795355186,5.45149442490372,8.03910982832344,7.49992059432005,11.6355616138895,5.12069810364088,4.23983624955551,12.9630346091435,23.0728399725299,4.6315633035551,17.072189457461,23.8229765298641,5.51945303362238,11.1240849136973,7.38682241281013,4.15453320509587,10.4333090777385,6.30592005525674,2.54686835782877,0.894906873615302,9.64318257308592,1.17671116831068,2.61813950552474,6.03476031823156,4.96313835128895
amp.amp_1.Light,amp,0.241155464913148,0.243285484614945,0.379875125996554,0.289052827332082,0.22862800298587,0.417004058369809,0.427786127434629,0.384835396505835,0.283660038068273,0.451819663361447,0.448404753115531,0.320994745024012,0.607444122239146,1.07813668818515,0.742745809418249,0.558987309517237,1.21336136367584,0.61706658084011,0.345705374653742,0.513575009472911,0.30398717937835,0.504308276917444,0.452573188221972,0.331470184089745,0.190642648286153,0.201372839239709,0.255972147080998,0.15003322256992,0.227610023904544,0.242299861611168,0.357388999596624,0.390539379417962,0.592311110991203,0.41451596560601,0.458055161059606,0.575695952501828
arg-L.arg-L_1.Light,arg-L,0.48011215133759,0.366377898615996,0.398217898602269,0.447835258422244,0.413492900529836,0.403651336046352,0.517011786049063,0.44267028820278,0.497038019522138,0.488901100618088,0.444396439589296,0.541503221240364,0.186877192469789,0.193186574123809,0.307976279910808,0.230385213532559,0.23332745699355,0.347977227332213,0.272568603699649,0.395110989977182,0.211958981491122,0.235942924909763,0.357450235964279,0.214116633898176,0.661628637632548,0.665062387635594,0.573088187730649,0.640812014932448,0.78093938695059,0.677946520914361,0.354805158182415,0.691660000011678,0.622258725507455,0.2447590168193,0.717664459119068,0.619149935430754
asn-L.asn-L_1.Light,asn-L,1.31311641134774,0.938035567620392,1.18841446494696,1.13756693267631,0.898632076384564,1.01142243986383,0.947687928202583,1.37954984639559,1.52967241692282,1.08800400680805,1.3174952094837,1.31930201804424,1.63886871774751,1.76819996615575,2.3995931748946,2.15597638789664,1.60153274871483,2.03364229570921,1.24632509722369,2.15262027419702,1.04739582954331,1.78075511874489,2.30571795254291,0.987325025079706,1.14843753728353,1.19538746914047,1.7097696276514,1.29937742037955,0.960959084437237,1.01673594019644,0.794294058143226,1.04331780529177,0.988713384837348,0.945653647841319,1.02484547091103,0.991559022643086
atp.atp_1.Light,atp,4.42523382556406,5.78620610818317,5.1688113580369,4.66571821499541,6.2486873876485,4.81856402856063,5.27419613455416,2.89798525199954,3.55503188428882,5.28449195159066,3.41115865436704,3.88805964000797,4.04183436801473,4.38146251907046,4.64744734149961,3.78975516087453,4.54744371885319,5.18042043065922,3.54313410928583,3.61994822344431,3.84068558600919,3.64675807491855,3.74492789603335,2.8567853982486,2.75114367396433,3.59603877377646,3.89149336606215,3.08748181900581,3.76178251435889,4.53209643741521,3.13108360643531,4.44322034257138,2.98160759532829,2.64435159961091,3.53695241312712,2.40656082095447
